word,slot,jp,en
河川,1, 河,river
河川,2,川,river
山川,1,山,mountain
山川,2,川,river
川上,1,川,river
川上,2,上,up
川瀬,1,川,river
川瀬,2,瀬,"rapids, shallows"
小川,1,小,small
小川,2,川,river
江戸川,1,江戸,Edo (Name)
江戸川,2,川,river
川原,1,川,river
川原,2,原,plain
小国,1,小,small
小国,2,国,country
小児,1,小,small
小児,2,児,newborn
小規模,1,小,small
小規模,2,規,regulation
小規模,3,模,pattern
小数,1,小,small
小数,2,数,Number
大小,1,大,big
大小,2,小,small
縮小する,1,縮,shrink
縮小する,2,小,small
中小企業,1,中,Middle
中小企業,2,小,small
中小企業,3,企,Project (scheme)
中小企業,4,業,business
最小,1,最,most
最小,2,小,small
小事,1,小,small
小事,2,事,affair
小学校,1,小,small
小学校,2,学,educational institution
小学校,3,校,school
小学生,1,小,small
小学生,2,学,educational institution
小学生,3,生,student
過小評価する,1,過,exceed
過小評価する,2,小,small
過小評価する,3,評,comment
過小評価する,4,価,value
小の月,1,小,small
小の月,2,月,month
小型の,1,小,small
小型の,2,型,type
小物,1,小,small
小物,2,物,thing
小鳥,1,小,small
小鳥,2,鳥,bird
小麦,1,小,small
小麦,2,麦,wheat
小屋,1,小,small
小屋,2,屋,house
小雨,1,小,small
小雨,2,雨,rain
小雪,1,小,small
小雪,2,雪,snow
小声,1,小,small
小声,2,声,voice
小売店,1,小,small
小売店,2,売,sell
小売店,3,店,shop
